InvoiceDate,Item #,Lot/inv #,Year,Make,Model,Category,Vin,Location,Description,Left Location,DatePaid,Invoice Amount
12/16/2025,109,66692225,2025,HONDA,CIVIC SPOR,S1,2HGFE2F55SH556928,MD - BALTIMORE EAST,2025 HONDA CIVIC SPORT,12/19/2025,12/16/2025,7065.000 USD
12/16/2025,2332,92874765,2014,ACURA,TSX TECH,SM,JH4CU2F65EC004753,NY - NEWBURGH,2014 ACURA TSX TECH,12/19/2025,12/16/2025,755.000 USD
12/16/2025,3047,93456025,2012,FORD,F150 SUPER,SC,1FTFW1EF2CFC75821,NJ - TRENTON,2012 FORD F150 SUPERCREW,12/19/2025,12/16/2025,1555.000 USD
12/17/2025,26,82204014,2018,HONDA,CIVIC LX,SC,2HGFC4B01JH305513,NJ - GLASSBORO EAST,2018 HONDA CIVIC LX,12/19/2025,12/17/2025,2915.000 USD
12/17/2025,3011,93689475,2016,HONDA,CIVIC LX,SC,19XFC2F53GE203675,NJ - TRENTON,2016 HONDA CIVIC LX,12/18/2025,12/17/2025,825.000 USD
12/17/2025,8,85693395,2020,CHEVROLET,MALIBU LT,SC,1G1ZD5ST5LF036390,PA - PHILADELPHIA EAST-SUBLOT,2020 CHEVROLET MALIBU LT,12/18/2025,12/17/2025,1565.000 USD
12/17/2025,3019,83943695,2014,JEEP,CHEROKEE L,FS,1C4PJMDB3EW184952,NJ - TRENTON,2014 JEEP CHEROKEE LIMITED,12/19/2025,12/17/2025,750.000 USD
12/17/2025,2258,62986895,2015,NISSAN,ROGUE SELE,ST,JN8AS5MVXFW764367,NJ - TRENTON,2015 NISSAN ROGUE SELECT S,12/18/2025,12/17/2025,1100.000 USD
12/17/2025,3038,87066925,2017,MAZDA,6 TOURING,SC,JM1GL1V56H1145694,NJ - TRENTON,2017 MAZDA 6 TOURING,12/19/2025,12/17/2025,1366.200 USD
12/17/2025,33,95772655,2013,SUBARU,LEGACY 2.5,CB,4S3BMBG67D3039403,PA - PHILADELPHIA EAST-SUBLOT,2013 SUBARU LEGACY 2.5I PREMIUM,12/24/2025,12/17/2025,770.000 USD
12/17/2025,35,95529945,2014,CHEVROLET,MALIBU 1LT,SC,1G11C5SL0EF171652,PA - PHILADELPHIA EAST-SUBLOT,2014 CHEVROLET MALIBU 1LT,12/24/2025,12/17/2025,965.000 USD
12/17/2025,3085,90329315,2017,CHEVROLET,MALIBU LS,SC,1G1ZC5ST1HF267393,NJ - TRENTON,2017 CHEVROLET MALIBU LS,12/19/2025,12/17/2025,1150.000 USD
12/17/2025,3122,54601485,2020,HONDA,ACCORD LX,SC,1HGCV1F17LA005782,NJ - TRENTON,2020 HONDA ACCORD LX,12/19/2025,12/17/2025,2711.200 USD
12/17/2025,4147,95082505,2019,HONDA,CIVIC EX,ST,19XFC1F30KE204039,VA - FREDERICKSBURG,2019 HONDA CIVIC EX,12/22/2025,12/17/2025,5595.000 USD
12/17/2025,3216,92056385,2013,DODGE,DURANGO,CT,1C4RDJAG9DC668218,NY - NEWBURGH,2013 DODGE DURANGO SXT,12/23/2025,12/17/2025,843.000 USD
12/18/2025,1,47278555,2017,TOYOTA,HIGHLANDER,RT,5TDDGRFH6HS022155,NJ - SOMERVILLE,2017 TOYOTA HIGHLANDER HYBRID LIMITED,12/22/2025,12/18/2025,4360.800 USD
12/18/2025,2,86714605,2006,TOYOTA,HIGHLANDER,PO,JTEEW21A760008348,NY - NEWBURGH,2006 TOYOTA HIGHLANDER HYBRID,12/23/2025,12/18/2025,1200.000 USD
12/18/2025,3209,93063905,2014,CADILLAC,ATS PERFOR,SM,1G6AJ5SX3E0178732,NY - NEWBURGH,2014 CADILLAC ATS PERFORMANCE,12/23/2025,12/18/2025,755.000 USD
12/18/2025,2274,94510605,2014,DODGE,AVENGER SE,SC,1C3CDZAG5EN116195,NJ - GLASSBORO EAST,2014 DODGE AVENGER SE,12/19/2025,12/18/2025,850.000 USD
12/18/2025,3244,95389155,2019,HONDA,CIVIC LX,SM,2HGFC2F61KH502069,NY - NEWBURGH,2019 HONDA CIVIC LX,12/23/2025,12/18/2025,755.000 USD
12/19/2025,,6531123,,,,,,,MISC INVOICE,,12/19/2025,0.000 USD
12/22/2025,3,96530765,2013,CHEVROLET,EQUINOX LT,CB,2GNFLEEKXD6374841,PA - PHILADELPHIA EAST-SUBLOT,2013 CHEVROLET EQUINOX LT,12/24/2025,12/22/2025,949.000 USD
12/22/2025,2004,93631745,2013,CHEVROLET,SONIC LT,SC,1G1JC5SG6D4143545,PA - PHILADELPHIA EAST-SUBLOT,2013 CHEVROLET SONIC LT,12/24/2025,12/22/2025,339.000 USD
12/22/2025,2006,92347395,2018,JEEP,RENEGADE L,SC,ZACCJABBXJPH61242,PA - PHILADELPHIA EAST-SUBLOT,2018 JEEP RENEGADE LATITUDE,12/24/2025,12/22/2025,689.000 USD
12/22/2025,2284,70867275,2006,DODGE,RAM 1500 S,SC,1D7HU18286S674029,NJ - TRENTON,2006 DODGE RAM 1500 ST,12/24/2025,12/22/2025,1550.000 USD
12/22/2025,2037,89892825,2011,CHRYSLER,TOWN & COU,SC,2A4RR6DG4BR760247,PA - PHILADELPHIA EAST-SUBLOT,2011 CHRYSLER TOWN & COUNTRY LIMITED,12/24/2025,12/22/2025,714.000 USD
12/22/2025,3063,91346975,2017,CHEVROLET,EQUINOX LT,SC,2GNFLFEK0H6244577,NJ - TRENTON,2017 CHEVROLET EQUINOX LT,12/23/2025,12/22/2025,839.200 USD
12/22/2025,48,68869855,2010,LEXUS,HS 250H,SC,JTHBB1BA9A2003692,NJ - TRENTON,2010 LEXUS HS 250H,12/23/2025,12/22/2025,750.000 USD
12/22/2025,3071,55781385,2003,DODGE,RAM 1500 S,SC,1D7HA16K23J643100,NJ - TRENTON,2003 DODGE RAM 1500 ST,12/23/2025,12/22/2025,640.000 USD
12/22/2025,2336,96101455,2013,HONDA,CIVIC LX,SC,2HGFG3B51DH521165,NJ - TRENTON,2013 HONDA CIVIC LX,12/23/2025,12/22/2025,1075.000 USD
12/22/2025,2366,91380315,2011,FORD,ECONOLINE,SC,1FTNS2EW7BDA23344,NJ - TRENTON,2011 FORD ECONOLINE E250 VAN,12/23/2025,12/22/2025,1670.000 USD
12/23/2025,2333,93150045,2019,CHEVROLET,TRAX 1LT,SC,KL7CJLSB0KB850970,PA - PHILADELPHIA,2019 CHEVROLET TRAX 1LT,12/30/2025,12/23/2025,2480.000 USD
12/23/2025,2005,91655285,2016,NISSAN,ROGUE S,SC,KNMAT2MV3GP713019,PA - PHILADELPHIA EAST-SUBLOT,2016 NISSAN ROGUE S,12/24/2025,12/23/2025,1719.000 USD
12/24/2025,4063,93147835,2020,HONDA,CIVIC SPOR,ST,SHHFK7H44LU404234,VA - FREDERICKSBURG,2020 HONDA CIVIC SPORT,12/31/2025,12/24/2025,5780.000 USD
12/26/2025,3200,86878515,2016,CHEVROLET,MALIBU LT,SM,1G1ZE5ST0GF228545,NY - NEWBURGH,2016 CHEVROLET MALIBU LT,12/29/2025,12/26/2025,1500.000 USD
12/26/2025,3002,94080695,2021,JEEP,RENEGADE S,SC,ZACNJDAB6MPN31159,PA - PHILADELPHIA,2021 JEEP RENEGADE SPORT,12/30/2025,12/26/2025,1270.000 USD
12/26/2025,3003,96261625,2013,DODGE,CHALLENGER,CB,2C3CDYAG1DH609292,PA - PHILADELPHIA,2013 DODGE CHALLENGER SXT,12/30/2025,12/26/2025,640.000 USD
12/26/2025,3211,93104395,2010,ACURA,MDX,SM,2HNYD2H26AH510840,NY - NEWBURGH,2010 ACURA MDX,12/29/2025,12/26/2025,615.000 USD
12/26/2025,3039,96375945,2019,BUICK,ENCORE PRE,SC,KL4CJASB0KB804489,PA - PHILADELPHIA,2019 BUICK ENCORE PREFERRED,12/30/2025,12/26/2025,825.000 USD
12/26/2025,3046,93130615,2008,CHEVROLET,EXPRESS G1,SC,1GCFG15X981140958,PA - PHILADELPHIA,2008 CHEVROLET EXPRESS G1500,12/31/2025,12/26/2025,745.000 USD
12/26/2025,2057,95843965,2019,DODGE,GRAND CARA,ST,2C4RDGBG3KR585146,VA - RICHMOND,2019 DODGE GRAND CARAVAN SE,12/31/2025,12/26/2025,2145.000 USD
12/26/2025,3072,90391745,2023,KIA,SELTOS S,SC,KNDEUCAA3P7426656,PA - PHILADELPHIA,2023 KIA SELTOS S,12/30/2025,12/26/2025,1670.000 USD
12/26/2025,87,96783615,2020,HONDA,CIVIC LX,SC,2HGFC2F60LH524355,PA - PHILADELPHIA,2020 HONDA CIVIC LX,12/30/2025,12/26/2025,3285.000 USD
12/28/2025,,6632363,,,,,,,PREMIER ANNUAL RENEWAL FEE,,12/28/2025,249.000 USD
12/29/2025,11,93680085,2013,FORD,FUSION SE,SC,3FA6P0HR4DR116032,PA - PHILADELPHIA EAST-SUBLOT,2013 FORD FUSION SE,01/06/2026,12/29/2025,1771.660 USD
12/29/2025,2011,96984775,2015,HYUNDAI,ELANTRA SE,SC,KMHDH4AEXFU445600,NJ - TRENTON,2015 HYUNDAI ELANTRA SE,12/31/2025,12/29/2025,995.000 USD
12/29/2025,2022,91605185,2019,HONDA,CIVIC LX,SC,2HGFC2F67KH548263,NJ - TRENTON,2019 HONDA CIVIC LX,12/31/2025,12/29/2025,2025.000 USD
12/29/2025,43,96081875,2008,DODGE,RAM 1500 S,SC,1D7HU18268J108041,PA - PHILADELPHIA EAST-SUBLOT,2008 DODGE RAM 1500 ST,01/06/2026,12/29/2025,741.660 USD
12/29/2025,35,93444055,2007,NISSAN,FRONTIER K,SC,1N6BD06T07C412732,NJ - TRENTON,2007 NISSAN FRONTIER KING CAB XE,12/31/2025,12/29/2025,2710.000 USD
12/29/2025,2506,94978305,2018,ACURA,TLX,SC,19UUB1F32JA000355,NJ - TRENTON,2018 ACURA TLX,12/31/2025,12/29/2025,1150.000 USD
12/29/2025,2508,82588275,2013,FORD,FUSION SE,SC,3FA6P0H73DR152213,NJ - TRENTON,2013 FORD FUSION SE,01/05/2026,12/29/2025,1263.800 USD
12/29/2025,89,94967575,2016,GMC,ACADIA SLT,SC,1GKKVRKD2GJ191766,NJ - TRENTON,2016 GMC ACADIA SLT-1,12/31/2025,12/29/2025,880.000 USD
12/30/2025,2019,94187965,2018,GMC,CANYON SLE,S1,1GTG6CEN0J1159356,DC - WASHINGTON DC,2018 GMC CANYON SLE,12/31/2025,12/30/2025,4890.000 USD
12/30/2025,14,94066925,2020,HONDA,CIVIC LX,SC,19XFC2F68LE208809,NJ - GLASSBORO EAST,2020 HONDA CIVIC LX,01/02/2026,12/30/2025,4990.000 USD
12/30/2025,2014,94950395,2022,SUBARU,OUTBACK LI,SC,4S4BTGND1N3282364,PA - PHILADELPHIA,2022 SUBARU OUTBACK LIMITED XT,12/31/2025,12/30/2025,1220.000 USD
12/30/2025,21,94340485,2019,HONDA,FIT EX,SC,3HGGK5H81KM731537,NJ - SOMERVILLE,2019 HONDA FIT EX,01/05/2026,12/30/2025,4278.000 USD
12/30/2025,2007,91994525,2015,JEEP,GRAND CHER,SC,1C4RJFBG3FC637005,NJ - GLASSBORO EAST,2015 JEEP GRAND CHEROKEE LIMITED,01/02/2026,12/30/2025,1025.000 USD
12/30/2025,36,94025795,2017,ACURA,MDX ADVANC,SC,5FRYD4H85HB039963,PA - PHILADELPHIA,2017 ACURA MDX ADVANCE,12/31/2025,12/30/2025,4580.000 USD
12/30/2025,2284,93092595,2021,BUICK,ENCLAVE ES,SM,5GAEVAKW7MJ269984,NY - NEWBURGH,2021 BUICK ENCLAVE ESSENCE,01/06/2026,12/30/2025,1720.000 USD
12/30/2025,2292,94455435,2019,SUBARU,IMPREZA,SM,4S3GTAA63K1723661,NY - NEWBURGH,2019 SUBARU IMPREZA,01/06/2026,12/30/2025,1885.000 USD
12/30/2025,2052,94222435,2013,TOYOTA,PRIUS C,SC,JTDKDTB38D1057925,PA - PHILADELPHIA,2013 TOYOTA PRIUS C,12/31/2025,12/30/2025,615.000 USD
12/30/2025,2070,95083155,2008,NISSAN,SENTRA 2.0,SC,3N1AB61E58L646292,PA - PHILADELPHIA,2008 NISSAN SENTRA 2.0,12/31/2025,12/30/2025,615.000 USD
12/30/2025,2075,95660075,2013,BUICK,LACROSSE P,SC,1G4GH5E37DF127382,PA - PHILADELPHIA,2013 BUICK LACROSSE PREMIUM,01/05/2026,12/30/2025,670.000 USD
12/30/2025,2090,95577195,2021,NISSAN,ALTIMA SL,SC,1N4BL4EV1MN353602,PA - PHILADELPHIA,2021 NISSAN ALTIMA SL,12/31/2025,12/30/2025,1000.000 USD
12/30/2025,2099,95332445,2012,JEEP,GRAND CHER,SC,1C4RJFBG6CC248483,PA - PHILADELPHIA,2012 JEEP GRAND CHEROKEE LIMITED,01/05/2026,12/30/2025,1225.000 USD
12/30/2025,2253,98018135,2014,MITSUBISHI,OUTLANDER,SC,JA4JZ4AX1EZ000325,PA - PHILADELPHIA,2014 MITSUBISHI OUTLANDER GT,12/31/2025,12/30/2025,1950.000 USD
12/30/2025,3330,62354035,2007,TOYOTA,CAMRY HYBR,PO,JTNBB46K673036167,NY - NEWBURGH,2007 TOYOTA CAMRY HYBRID,01/06/2026,12/30/2025,875.000 USD
12/30/2025,2101,87281075,2015,CHEVROLET,TRAVERSE L,CB,1GNKVFKD6FJ381070,PA - PHILADELPHIA,2015 CHEVROLET TRAVERSE LS,01/05/2026,12/30/2025,1005.000 USD
12/30/2025,2288,93137195,2014,NISSAN,ROGUE S,SC,5N1AT2MV5EC861317,PA - PHILADELPHIA,2014 NISSAN ROGUE S,01/05/2026,12/30/2025,1630.000 USD
12/30/2025,2328,96367945,2017,DODGE,JOURNEY SE,SC,3C4PDCAB2HT549833,PA - PHILADELPHIA,2017 DODGE JOURNEY SE,12/31/2025,12/30/2025,1670.000 USD
12/30/2025,4,96712025,2012,GMC,TERRAIN SL,SC,2GKFLVEK1C6261999,PA - PHILADELPHIA EAST-SUBLOT,2012 GMC TERRAIN SLT,01/06/2026,12/30/2025,1501.680 USD
12/30/2025,25,94466495,2012,BUICK,LACROSSE P,SC,1G4GD5ER2CF283974,NJ - TRENTON,2012 BUICK LACROSSE PREMIUM,12/31/2025,12/30/2025,615.000 USD
12/31/2025,2033,85555285,2021,FORD,F250 SUPER,SC,1FDBF2A62MED09933,NJ - GLASSBORO EAST,2021 FORD F250 SUPER DUTY,01/02/2026,12/31/2025,3385.000 USD
12/31/2025,8,95840235,2021,TOYOTA,COROLLA LE,SC,JTDEPMAE3MJ180657,PA - PHILADELPHIA EAST-SUBLOT,2021 TOYOTA COROLLA LE,01/06/2026,12/31/2025,10399.000 USD
12/31/2025,2031,97747955,2012,TESLA,MODEL S,SC,5YJSA1DP5CFS01028,NJ - TRENTON,2012 TESLA MODEL S,01/02/2026,12/31/2025,1215.000 USD
12/31/2025,45,93366095,2022,HONDA,ACCORD SPO,SC,1HGCV1F41NA069118,PA - PHILADELPHIA EAST-SUBLOT,2022 HONDA ACCORD SPORT SE,01/06/2026,12/31/2025,6194.000 USD
12/31/2025,83,98303975,2017,CHEVROLET,SILVERADO,SC,1GCVKREC1HZ119285,PA - YORK HAVEN,2017 CHEVROLET SILVERADO K1500 LT,01/06/2026,12/31/2025,5995.000 USD
12/31/2025,2102,90279475,2019,INFINITI,QX60 LUXE,SC,5N1DL0MM4KC548179,NJ - TRENTON,2019 INFINITI QX60 LUXE,01/05/2026,12/31/2025,2406.000 USD
12/31/2025,2254,92174045,2013,INFINITI,JX35,SC,5N1AL0MM9DC301603,NJ - TRENTON,2013 INFINITI JX35,01/05/2026,12/31/2025,1005.000 USD
12/31/2025,118,96451375,2018,HONDA,ACCORD EXL,SC,1HGCV1F5XJA070299,PA - PHILADELPHIA EAST-SUBLOT,2018 HONDA ACCORD EXL,01/06/2026,12/31/2025,2434.000 USD
12/31/2025,2281,93449515,2017,CHEVROLET,EQUINOX LS,SC,2GNALBEKXH1527293,NJ - TRENTON,2017 CHEVROLET EQUINOX LS,01/02/2026,12/31/2025,1125.000 USD
12/31/2025,133,93724365,2016,HONDA,PILOT EXL,TH,5FNYF5H83GB042232,PA - PHILADELPHIA EAST-SUBLOT,2016 HONDA PILOT EXL,01/06/2026,12/31/2025,3984.000 USD
12/31/2025,2502,92877445,2024,BUICK,ENVISTA SP,SC,KL47LBE21RB039445,NJ - TRENTON,2024 BUICK ENVISTA SPORT TOURING,01/02/2026,12/31/2025,5290.000 USD
12/31/2025,3228,95177125,2022,FORD,BRONCO SPO,SM,3FMCR9B66NRD03912,NY - NEWBURGH,2022 FORD BRONCO SPORT BIG BEND,01/06/2026,12/31/2025,3885.000 USD
12/31/2025,2340,93326455,2006,TOYOTA,HIGHLANDER,CT,JTEDW21A160008857,NY - NEWBURGH,2006 TOYOTA HIGHLANDER HYBRID,01/06/2026,12/31/2025,1078.000 USD
12/31/2025,2001,94154855,2019,HONDA,CR-V EX,SC,JHLRW2H52KX012455,NJ - GLASSBORO EAST,2019 HONDA CR-V EX,01/02/2026,12/31/2025,4430.000 USD
01/02/2026,3201,96100495,2015,CHEVROLET,SILVERADO,PO,1GCVKPEC8FZ413123,NY - NEWBURGH,2015 CHEVROLET SILVERADO K1500,01/06/2026,01/02/2026,2260.000 USD
01/02/2026,3006,97326465,2017,HONDA,CIVIC EX,SC,19XFC2F76HE204063,PA - PHILADELPHIA,2017 HONDA CIVIC EX,01/05/2026,01/02/2026,2310.000 USD
01/02/2026,3035,96715325,2018,NISSAN,MAXIMA 3.5,SC,1N4AA6AP2JC382327,PA - PHILADELPHIA,2018 NISSAN MAXIMA 3.5S,01/05/2026,01/02/2026,1270.000 USD
01/02/2026,2373,97798605,2022,SUBARU,IMPREZA PR,CB,4S3GTAV69N3717334,PA - PHILADELPHIA,2022 SUBARU IMPREZA PREMIUM,01/05/2026,01/02/2026,1550.000 USD
01/03/2026,1,96844975,2013,MAZDA,CX-9 TOURI,CT,JM3TB3CV1D0403014,NY - NEWBURGH,2013 MAZDA CX-9 TOURING,01/06/2026,01/03/2026,993.000 USD
