Invoice date,Item #,Lot/Inv #,Year,Make,Model,VIN,Location,Description,Left location,Date paid,Invoice amount
12/29/2025,11,93680085,2013,FORD,FUSION SE,3FA6P0HR4DR116032,PA - PHILADELPHIA EAST-SUBLOT,2013 FORD FUSION SE  ,01/06/2026,12/29/2025,"$1,771.66 USD"
12/28/2025,,6632363,,,,,,PREMIER ANNUAL RENEWAL FEE,,12/28/2025,$249.00 USD
12/26/2025,87,96783615,2020,HONDA,CIVIC LX,2HGFC2F60LH524355,PA - PHILADELPHIA,2020 HONDA CIVIC LX  ,12/30/2025,12/26/2025,"$3,285.00 USD"
12/26/2025,3072,90391745,2023,KIA,SELTOS S,KNDEUCAA3P7426656,PA - PHILADELPHIA,2023 KIA SELTOS S  ,12/30/2025,12/26/2025,"$1,670.00 USD"
12/26/2025,2057,95843965,2019,DODGE,GRAND CARA,2C4RDGBG3KR585146,VA - RICHMOND,2019 DODGE GRAND CARAVAN SE  ,12/31/2025,12/26/2025,"$2,145.00 USD"
12/26/2025,3046,93130615,2008,CHEVROLET,EXPRESS G1,1GCFG15X981140958,PA - PHILADELPHIA,2008 CHEVROLET EXPRESS G1500   ,12/30/2025,12/26/2025,$745.00 USD
12/26/2025,3039,96375945,2019,BUICK,ENCORE PRE,KL4CJASB0KB804489,PA - PHILADELPHIA,2019 BUICK ENCORE PREFERRED  ,12/30/2025,12/26/2025,$825.00 USD
12/26/2025,3211,93104395,2010,ACURA,MDX,2HNYD2H26AH510840,NY - NEWBURGH,2010 ACURA MDX   ,12/29/2025,12/26/2025,$615.00 USD
12/26/2025,3003,96261625,2013,DODGE,CHALLENGER,2C3CDYAG1DH609292,PA - PHILADELPHIA,2013 DODGE CHALLENGER SXT  ,12/30/2025,12/26/2025,$640.00 USD
12/26/2025,3002,94080695,2021,JEEP,RENEGADE S,ZACNJDAB6MPN31159,PA - PHILADELPHIA,2021 JEEP RENEGADE SPORT  ,12/30/2025,12/26/2025,"$1,270.00 USD"
12/26/2025,3200,86878515,2016,CHEVROLET,MALIBU LT,1G1ZE5ST0GF228545,NY - NEWBURGH,2016 CHEVROLET MALIBU LT  ,12/29/2025,12/26/2025,"$1,500.00 USD"
12/24/2025,4063,93147835,2020,HONDA,CIVIC SPOR,SHHFK7H44LU404234,VA - FREDERICKSBURG,2020 HONDA CIVIC SPORT  ,12/31/2025,12/24/2025,"$5,780.00 USD"
12/23/2025,2005,91655285,2016,NISSAN,ROGUE S,KNMAT2MV3GP713019,PA - PHILADELPHIA EAST-SUBLOT,2016 NISSAN ROGUE S  ,12/24/2025,12/23/2025,"$1,719.00 USD"
12/23/2025,2333,93150045,2019,CHEVROLET,TRAX 1LT,KL7CJLSB0KB850970,PA - PHILADELPHIA,2019 CHEVROLET TRAX 1LT  ,12/30/2025,12/23/2025,"$2,480.00 USD"
12/22/2025,2366,91380315,2011,FORD,ECONOLINE,1FTNS2EW7BDA23344,NJ - TRENTON,2011 FORD ECONOLINE E250 VAN  ,12/23/2025,12/22/2025,"$1,670.00 USD"
12/22/2025,2336,96101455,2013,HONDA,CIVIC LX,2HGFG3B51DH521165,NJ - TRENTON,2013 HONDA CIVIC LX  ,12/23/2025,12/22/2025,"$1,075.00 USD"
12/22/2025,3071,55781385,2003,DODGE,RAM 1500 S,1D7HA16K23J643100,NJ - TRENTON,2003 DODGE RAM 1500 ST,12/23/2025,12/22/2025,$640.00 USD
12/22/2025,48,68869855,2010,LEXUS,HS 250H,JTHBB1BA9A2003692,NJ - TRENTON,2010 LEXUS HS 250H  ,12/23/2025,12/22/2025,$750.00 USD
12/22/2025,3063,91346975,2017,CHEVROLET,EQUINOX LT,2GNFLFEK0H6244577,NJ - TRENTON,2017 CHEVROLET EQUINOX LT  ,12/23/2025,12/22/2025,$839.20 USD
12/22/2025,2037,89892825,2011,CHRYSLER,TOWN & COU,2A4RR6DG4BR760247,PA - PHILADELPHIA EAST-SUBLOT,2011 CHRYSLER TOWN & COUNTRY LIMITED  ,12/24/2025,12/22/2025,$714.00 USD
12/22/2025,2284,70867275,2006,DODGE,RAM 1500 S,1D7HU18286S674029,NJ - TRENTON,2006 DODGE RAM 1500 ST  ,12/24/2025,12/22/2025,"$1,550.00 USD"
12/22/2025,2006,92347395,2018,JEEP,RENEGADE L,ZACCJABBXJPH61242,PA - PHILADELPHIA EAST-SUBLOT,2018 JEEP RENEGADE LATITUDE  ,12/24/2025,12/22/2025,$689.00 USD
12/22/2025,2004,93631745,2013,CHEVROLET,SONIC LT,1G1JC5SG6D4143545,PA - PHILADELPHIA EAST-SUBLOT,2013 CHEVROLET SONIC LT  ,12/24/2025,12/22/2025,$339.00 USD
12/22/2025,3,96530765,2013,CHEVROLET,EQUINOX LT,2GNFLEEKXD6374841,PA - PHILADELPHIA EAST-SUBLOT,2013 CHEVROLET EQUINOX LT  ,12/24/2025,12/22/2025,$949.00 USD
12/19/2025,,6531123,,,,,ID - BOISE,MISC INVOICE,,12/19/2025,$0.00 USD
12/18/2025,3244,95389155,2019,HONDA,CIVIC LX,2HGFC2F61KH502069,NY - NEWBURGH,2019 HONDA CIVIC LX  ,12/23/2025,12/18/2025,$755.00 USD
12/18/2025,2274,94510605,2014,DODGE,AVENGER SE,1C3CDZAG5EN116195,NJ - GLASSBORO EAST,2014 DODGE AVENGER SE  ,12/19/2025,12/18/2025,$850.00 USD
12/18/2025,3209,93063905,2014,CADILLAC,ATS PERFOR,1G6AJ5SX3E0178732,NY - NEWBURGH,2014 CADILLAC ATS PERFORMANCE  ,12/23/2025,12/18/2025,$755.00 USD
12/18/2025,2,86714605,2006,TOYOTA,HIGHLANDER,JTEEW21A760008348,NY - NEWBURGH,2006 TOYOTA HIGHLANDER HYBRID,12/23/2025,12/18/2025,"$1,200.00 USD"
12/18/2025,1,47278555,2017,TOYOTA,HIGHLANDER,5TDDGRFH6HS022155,NJ - SOMERVILLE,2017 TOYOTA HIGHLANDER HYBRID LIMITED,12/22/2025,12/18/2025,"$4,360.80 USD"
12/17/2025,3216,92056385,2013,DODGE,DURANGO,1C4RDJAG9DC668218,NY - NEWBURGH,2013 DODGE DURANGO SXT  ,12/23/2025,12/17/2025,$843.00 USD
12/17/2025,4147,95082505,2019,HONDA,CIVIC EX,19XFC1F30KE204039,VA - FREDERICKSBURG,2019 HONDA CIVIC EX  ,12/22/2025,12/17/2025,"$5,595.00 USD"
12/17/2025,3122,54601485,2020,HONDA,ACCORD LX,1HGCV1F17LA005782,NJ - TRENTON,2020 HONDA ACCORD LX,12/19/2025,12/17/2025,"$2,711.20 USD"
12/17/2025,3085,90329315,2017,CHEVROLET,MALIBU LS,1G1ZC5ST1HF267393,NJ - TRENTON,2017 CHEVROLET MALIBU LS  ,12/19/2025,12/17/2025,"$1,150.00 USD"
12/17/2025,35,95529945,2014,CHEVROLET,MALIBU 1LT,1G11C5SL0EF171652,PA - PHILADELPHIA EAST-SUBLOT,2014 CHEVROLET MALIBU 1LT  ,12/24/2025,12/17/2025,$965.00 USD
12/17/2025,33,95772655,2013,SUBARU,LEGACY 2.5,4S3BMBG67D3039403,PA - PHILADELPHIA EAST-SUBLOT,2013 SUBARU LEGACY 2.5I PREMIUM  ,12/24/2025,12/17/2025,$770.00 USD
12/17/2025,3038,87066925,2017,MAZDA,6 TOURING,JM1GL1V56H1145694,NJ - TRENTON,2017 MAZDA 6 TOURING  ,12/19/2025,12/17/2025,"$1,366.20 USD"
12/17/2025,2258,62986895,2015,NISSAN,ROGUE SELE,JN8AS5MVXFW764367,NJ - TRENTON,2015 NISSAN ROGUE SELECT S  ,12/18/2025,12/17/2025,"$1,100.00 USD"
